s_date,isin,rate
, 서린바이오 (038070),1.025:1
, 서부T&D (006730),1.02:1
, 성우테크론 (045300),1.02:1
, 셀트리온 (068270),1.02:1
, 셀트리온제약 (068760),1.03:1
, 셀트리온헬스케어 (091990),1.02:1
, 시큐브 (131090),1.051:1
, 신일제약 (012790),1.03:1
, 씨앤지하이테크 (264660),1.01:1
, 아이윈 (090150),1.1:1
, 에이리츠 (140910),1.06:1
, 에이치시티 (072990),1.011:1
, 에코프로 (086520),1.02:1
, 위즈코프 (038620),1.05:1
, 유한양행 (000100),1.05:1
, 이루다 (164060),1.1:1
, 이테크건설 (016250),1.3:1
, 인터로조 (119610),1.02:1
, 조이시티 (067000),1.5:1
, 종근당 (185750),1.05:1
, 케이엠 (083550),1.05:1
, 케이탑리츠 (145270),1.04:1
, 코맥스 (036690),1.02:1
, 코윈테크 (282880),1.03:1
, 피엔에이치테크 (239890),2:01
, 한미사이언스 (008930),1.02:1
, 한미약품 (128940),1.02:1
, 한일홀딩스 (003300),1.07:1
, 헬릭스미스 (084990),1.1:1
, 휴온스 (243070),1.1:1
, 휴온스 (084110),1.05:1
2021년 12월 27일, 에스트래픽 (234300),1.1:1
2021년 12월 20일, 자이언트스텝 (289220),2:01
2021년 12월 17일, Hysonic (106080),1:02
, RF머트리얼즈 (327260),2:01
2021년 12월 16일, 하나마이크론 (067310),1.2:1
2021년 12월 15일, 스튜디오산타클로스 (204630),1:05
2021년 12월 9일, 씨앤투스성진 (352700),3:01
2021년 12월 7일, MIT (038340),1:03
, 디와이디대양 (219550),2:01
, 아이엠 (101390),1:10
2021년 12월 6일, 딥노이드 (315640),2:01
, 아이큐어 (175250),2:01
2021년 12월 3일, 진원생명과학 (011000),1.5:1
2021년 12월 2일, 알로이스 (297570),2:01
2021년 11월 29일, 제노코 (361390),3:01
2021년 11월 26일, DSNL (141020),1:20
2021년 11월 25일, NHN한국사이버결제 (060250),1.5:1
, 디케이앤디 (263020),2:01
2021년 11월 23일, 에스엘바이오닉스 (214310),1:10
2021년 11월 18일, 오리엔트정공 (065500),1:05
, 쿠콘 (294570),1.25:1
2021년 11월 16일, 비즈니스온 (138580),2:01
, 코센 (009730),1:03
2021년 11월 11일, 이미지스 (115610),2:01
2021년 11월 5일, 지나인제약 (078650),1:20
2021년 11월 4일, 동일금속 (109860),1.33:1
2021년 11월 1일, SK텔레콤 (017670),1:1.65
2021년 10월 29일, 네오리진 (094860),1.2:1
2021년 10월 28일, Smart Solutions (136510),4:01
, 동일철강 (023790),2:01
2021년 10월 26일, 이엠앤아이 (083470),1:02
2021년 10월 22일, 솔트룩스 (304100),2:01
2021년 10월 21일, SK케미칼 (285130),1.5:1
, SK케미칼우 (28513K),1.5:1
2021년 10월 19일, 마니커 (027740),1:05
2021년 10월 14일, 초록뱀이앤엠 (131100),1:05
2021년 10월 12일, FSN (214270),1:05
, 해성티피씨 (059270),2:01
2021년 10월 8일, 메디아나 (041920),1.854:1
, 원티드랩 (376980),2:01
2021년 10월 5일, 세종메디칼 (258830),5:01
2021년 9월 24일, Earth Aerospace Manufacturing Ind (263540),1:20
2021년 9월 23일, 제룡산업 (147830),2:01
2021년 9월 17일, 세화피앤씨 (252500),2:01
, 한라IMS (092460),1.5:1
2021년 9월 15일, 씨이랩 (189330),2:01
, 에스엠벡셀 (010580),1:05
2021년 9월 14일, 엘아이에스 (138690),5:01
2021년 9월 13일, 엠투엔 (033310),1.2:1
, 위메이드 (112040),2:01
2021년 9월 10일, 제주항공 (089590),1.046:1
2021년 9월 9일, 에이원알폼 (234070),1:15
